#       r             V(r)
  8.38656570e-05  -9.53906556e+04
  8.47085208e-05  -9.44415027e+04
  8.55598556e-05  -9.35017941e+04
  8.64197465e-05  -9.25714357e+04
  8.72882794e-05  -9.16503345e+04
  8.81655412e-05  -9.07383984e+04
  8.90516196e-05  -8.98355363e+04
  8.99466032e-05  -8.89416577e+04
  9.08505816e-05  -8.80566735e+04
  9.17636451e-05  -8.71804949e+04
  9.26858851e-05  -8.63130345e+04
  9.36173937e-05  -8.54542055e+04
  9.45582642e-05  -8.46039219e+04
  9.55085906e-05  -8.37620988e+04
  9.64684678e-05  -8.29286520e+04
  9.74379921e-05  -8.21034981e+04
  9.84172602e-05  -8.12865547e+04
  9.94063701e-05  -8.04777399e+04
  1.00405421e-04  -7.96769731e+04
  1.01414512e-04  -7.88841739e+04
  1.02433745e-04  -7.80992633e+04
  1.03463221e-04  -7.73221626e+04
  1.04503044e-04  -7.65527943e+04
  1.05553317e-04  -7.57910812e+04
  1.06614145e-04  -7.50369474e+04
  1.07685635e-04  -7.42903173e+04
  1.08767894e-04  -7.35511163e+04
  1.09861029e-04  -7.28192704e+04
  1.10965151e-04  -7.20947066e+04
  1.12080369e-04  -7.13773523e+04
  1.13206796e-04  -7.06671357e+04
  1.14344543e-04  -6.99639860e+04
  1.15493725e-04  -6.92678327e+04
  1.16654456e-04  -6.85786062e+04
  1.17826853e-04  -6.78962377e+04
  1.19011032e-04  -6.72206589e+04
  1.20207113e-04  -6.65518021e+04
  1.21415215e-04  -6.58896006e+04
  1.22635458e-04  -6.52339882e+04
  1.23867965e-04  -6.45848991e+04
  1.25112858e-04  -6.39422686e+04
  1.26370263e-04  -6.33060324e+04
  1.27640306e-04  -6.26761269e+04
  1.28923112e-04  -6.20524890e+04
  1.30218811e-04  -6.14350564e+04
  1.31527532e-04  -6.08237674e+04
  1.32849405e-04  -6.02185608e+04
  1.34184564e-04  -5.96193761e+04
  1.35533141e-04  -5.90261534e+04
  1.36895272e-04  -5.84388334e+04
  1.38271093e-04  -5.78573573e+04
  1.39660740e-04  -5.72816669e+04
  1.41064354e-04  -5.67117048e+04
  1.42482074e-04  -5.61474139e+04
  1.43914043e-04  -5.55887378e+04
  1.45360403e-04  -5.50356207e+04
  1.46821299e-04  -5.44880071e+04
  1.48296878e-04  -5.39458423e+04
  1.49787286e-04  -5.34090722e+04
  1.51292674e-04  -5.28776431e+04
  1.52813190e-04  -5.23515018e+04
  1.54348988e-04  -5.18305956e+04
  1.55900221e-04  -5.13148726e+04
  1.57467045e-04  -5.08042811e+04
