#       r             R(r)          X(r)=rR(r)          Veff
  8.386566e-05   1.599464e+01   1.341401e-03  -9.539066e+04
  8.470852e-05   1.599458e+01   1.354877e-03  -9.444150e+04
  8.555986e-05   1.599453e+01   1.368489e-03  -9.350179e+04
  8.641975e-05   1.599447e+01   1.382238e-03  -9.257144e+04
  8.728828e-05   1.599442e+01   1.396125e-03  -9.165033e+04
  8.816554e-05   1.599436e+01   1.410151e-03  -9.073840e+04
  8.905162e-05   1.599430e+01   1.424319e-03  -8.983554e+04
  8.994660e-05   1.599425e+01   1.438628e-03  -8.894166e+04
  9.085058e-05   1.599419e+01   1.453081e-03  -8.805667e+04
  9.176365e-05   1.599413e+01   1.467680e-03  -8.718049e+04
  9.268589e-05   1.599407e+01   1.482425e-03  -8.631303e+04
  9.361739e-05   1.599401e+01   1.497318e-03  -8.545421e+04
  9.455826e-05   1.599395e+01   1.512360e-03  -8.460392e+04
  9.550859e-05   1.599389e+01   1.527554e-03  -8.376210e+04
  9.646847e-05   1.599383e+01   1.542900e-03  -8.292865e+04
  9.743799e-05   1.599377e+01   1.558401e-03  -8.210350e+04
  9.841726e-05   1.599370e+01   1.574057e-03  -8.128655e+04
  9.940637e-05   1.599364e+01   1.589870e-03  -8.047774e+04
  1.004054e-04   1.599358e+01   1.605842e-03  -7.967697e+04
  1.014145e-04   1.599351e+01   1.621974e-03  -7.888417e+04
  1.024337e-04   1.599345e+01   1.638269e-03  -7.809926e+04
  1.034632e-04   1.599338e+01   1.654727e-03  -7.732216e+04
  1.045030e-04   1.599331e+01   1.671350e-03  -7.655279e+04
  1.055533e-04   1.599325e+01   1.688140e-03  -7.579108e+04
  1.066141e-04   1.599318e+01   1.705099e-03  -7.503695e+04
  1.076856e-04   1.599311e+01   1.722228e-03  -7.429032e+04
  1.087679e-04   1.599304e+01   1.739529e-03  -7.355112e+04
  1.098610e-04   1.599297e+01   1.757004e-03  -7.281927e+04
  1.109652e-04   1.599290e+01   1.774655e-03  -7.209471e+04
  1.120804e-04   1.599283e+01   1.792482e-03  -7.137735e+04
  1.132068e-04   1.599276e+01   1.810489e-03  -7.066714e+04
  1.143445e-04   1.599268e+01   1.828676e-03  -6.996399e+04
  1.154937e-04   1.599261e+01   1.847046e-03  -6.926783e+04
  1.166545e-04   1.599254e+01   1.865601e-03  -6.857861e+04
  1.178269e-04   1.599246e+01   1.884341e-03  -6.789624e+04
  1.190110e-04   1.599239e+01   1.903270e-03  -6.722066e+04
  1.202071e-04   1.599231e+01   1.922389e-03  -6.655180e+04
  1.214152e-04   1.599223e+01   1.941700e-03  -6.588960e+04
  1.226355e-04   1.599215e+01   1.961205e-03  -6.523399e+04
  1.238680e-04   1.599208e+01   1.980906e-03  -6.458490e+04
  1.251129e-04   1.599200e+01   2.000804e-03  -6.394227e+04
  1.263703e-04   1.599192e+01   2.020903e-03  -6.330603e+04
  1.276403e-04   1.599183e+01   2.041203e-03  -6.267613e+04
  1.289231e-04   1.599175e+01   2.061706e-03  -6.205249e+04
  1.302188e-04   1.599167e+01   2.082416e-03  -6.143506e+04
  1.315275e-04   1.599159e+01   2.103334e-03  -6.082377e+04
  1.328494e-04   1.599150e+01   2.124461e-03  -6.021856e+04
  1.341846e-04   1.599142e+01   2.145801e-03  -5.961938e+04
  1.355331e-04   1.599133e+01   2.167355e-03  -5.902615e+04
  1.368953e-04   1.599124e+01   2.189125e-03  -5.843883e+04
  1.382711e-04   1.599115e+01   2.211114e-03  -5.785736e+04
  1.396607e-04   1.599107e+01   2.233324e-03  -5.728167e+04
  1.410644e-04   1.599098e+01   2.255757e-03  -5.671170e+04
  1.424821e-04   1.599088e+01   2.278414e-03  -5.614741e+04
  1.439140e-04   1.599079e+01   2.301300e-03  -5.558874e+04
  1.453604e-04   1.599070e+01   2.324415e-03  -5.503562e+04
  1.468213e-04   1.599061e+01   2.347762e-03  -5.448801e+04
  1.482969e-04   1.599051e+01   2.371343e-03  -5.394584e+04
  1.497873e-04   1.599042e+01   2.395161e-03  -5.340907e+04
  1.512927e-04   1.599032e+01   2.419218e-03  -5.287764e+04
  1.528132e-04   1.599022e+01   2.443517e-03  -5.235150e+04
  1.543490e-04   1.599013e+01   2.468060e-03  -5.183060e+04
  1.559002e-04   1.599003e+01   2.492849e-03  -5.131487e+04
  1.574670e-04   1.598993e+01   2.517886e-03  -5.080428e+04
  1.590496e-04   1.598983e+01   2.543176e-03  -5.029877e+04
